"concept_iri"	"notation"	"pref_label"	"definition"	"capture_timestamp"	"source_url"	"capture_count"	"sampled_capture_count"	"distinct_sampled_definitions"	"review_status"	"review_note"	"sampled_headings"	"errors"
"https://data.idnau.org/pid/vocab/atns-subcat/e248c2dd-231c-5ac3-b046-96514d7b5cba"	"101"	"Treaty (Canada)"	"Historical treaties in the Canadian context were first signed between the British Crown and First Nations. They impose a range of mutual obligations on signatory parties. Modern treaties take the form of land claims settlements which are constitutionally protected."	"20140303160814"	"https://web.archive.org/web/20140303160814/http://atns.net.au/subcategory.asp?subcategoryID=101"	"6"	"3"	"1"	"stable"	""	"Treaty (Canada)"	""
"https://data.idnau.org/pid/vocab/atns-subcat/aadb9f87-ca50-5df2-a80b-6c2fad38cb3a"	"102"	"Overlap/Boundary Agreement (Canada)"	"Overlap or boundary agreements are negotiated between First Nations in the context of land claims negotiations where traditional territories overlap or intersect. Such agreements may cover both land and resource interests and may set out provisions relating to matters including the exercise of harvesting rights, delineation of shared use and claims areas, consultation and shared decision-making."	"20140303160737"	"https://web.archive.org/web/20140303160737/http://atns.net.au/subcategory.asp?subcategoryID=102"	"6"	"2"	"1"	"stable"	""	"Overlap/Boundary Agreement (Canada)"	"20110216114400: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/d25c73be-9cb4-5d9b-9913-a32120c317b3"	"104"	"Maori People"	"The indigenous inhabitants of New Zealand."	"20140126160517"	"https://web.archive.org/web/20140126160517/http://atns.net.au/subcategory.asp?subcategoryID=104"	"6"	"2"	"1"	"stable"	""	"Maori People"	"20110216102304: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/1e638a55-1881-57c7-894d-fa95737ba14a"	"105"	"Aboriginal Lands Trust (Western Australia)"	"The Aboriginal Lands Trust (ALT) was established by the Western Australian Aboriginal Affairs Planning Authority Act 1972 (WA) (AAPA Act). The functions of the ALT (s23 AAPA Act) are primarily to acquire and hold land and to use and manage that land for the benefit of persons of Aboriginal descent."	"20131029223303"	"https://web.archive.org/web/20131029223303/http://www.atns.net.au/subcategory.asp?subcategoryID=105"	"5"	"3"	"1"	"stable"	""	"Aboriginal Lands Trust (Western Australia)"	""
"https://data.idnau.org/pid/vocab/atns-subcat/3d174cb1-b9fa-5ba5-a4be-08e299ed27d2"	"106"	"Aboriginal Lands Trust (South Australia)"	"The Aboriginal Lands Trust in South Australia is a statutory body under the Aboriginal Lands Trust Act 1966 (SA) (ALTA). The Lands Trust holds certain lands in trust for the economic and cultural benefit of the Aboriginal people of South Australia and may not sell any such land without the approval of both houses of Parliament."	"20131029202612"	"https://web.archive.org/web/20131029202612/http://www.atns.net.au/subcategory.asp?subcategoryID=106"	"7"	"3"	"1"	"stable"	""	"Aboriginal Lands Trust (South Australia)"	""
"https://data.idnau.org/pid/vocab/atns-subcat/8a117369-cce0-5a2c-9d12-d3d13719a07e"	"107"	"Non-Government Organisation (NGO)"	"An association based on the common interests of its members, individuals, or institutions. It has no government status or function and is not created by, nor is its agenda set or implemented by, a government."	"20170214233025"	"https://web.archive.org/web/20170214233025/http://atns.net.au/subcategory.asp?subcategoryID=107"	"6"	"2"	"1"	"stable"	""	"Non-Government Organisation (NGO)"	"20070901080108: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/1682bda6-86ad-57ab-b605-73fb7027939d"	"108"	"Shared Responsibility Agreement (SRA)"	"Shared Responsibility Agreements (SRAs) are agreements made between federal and state governments and Indigenous communities to provide discretionary funding in return for community obligations. Such agreements form part of the Council of Australian Governments' (COAG) original commitment to the Framework to Advance Reconciliation and the Commonwealth Government's whole of government initiatives. ‘Shared Responsibility’ is a key concept in these arrangements. SRAs set out what all partners to the agreement will contribute in order to develop effective and long-term changes for Indigenous communities. SRAs are developed with reference to local community priorities and ideas as to how these might be achieved."	"20200921194826"	"https://web.archive.org/web/20200921194826/https://atns.net.au/subcategory.asp?subcategoryID=108"	"11"	"2"	"1"	"stable"	""	"Shared Responsibility Agreement (SRA)"	"20070901092658: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/599936e5-2a8b-5e7e-b079-88a9d0d0ef0c"	"109"	"Aboriginal Community Controlled Health Organisation (ACCHO)"	"ACCHOs operate in the metropolitan, regional, rural and remote areas of all States and Territories in Australia. ACCHOs are controlled by, and accountable to, Aboriginal people in those areas in which they operate. ACCHOs aim to deliver holistic, comprehensive and culturally appropriate health care to the community that controls it."	"20140125204538"	"https://web.archive.org/web/20140125204538/http://atns.net.au/subcategory.asp?subcategoryID=109"	"5"	"2"	"1"	"stable"	""	"Aboriginal Community Controlled Health Organisation (ACCHO)"	"20070901081316: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/314b7fb0-5d8b-5ad1-afa1-ec0d99beee3b"	"110"	"Political Accord (Canada)"	"Political Accords are generally characterised by a cross-governmental approach to agreement making. This means that federal, provincial and Aboriginal governments or bodies are party to negotiations. An accord may establish a consultation process and subject matter of a proposed agreement, or may constitute a final agreement itself. Political accords often take place in the context of self-government negotiations."	"20140303160749"	"https://web.archive.org/web/20140303160749/http://atns.net.au/subcategory.asp?subcategoryID=110"	"7"	"3"	"1"	"stable"	""	"Political Accord (Canada)"	""
"https://data.idnau.org/pid/vocab/atns-subcat/ad36943d-86a8-5484-8603-fdbb8581fa4e"	"111"	"Aboriginal and Torres Strait Islander"	"The Indigenous inhabitants of mainland Australia, Tasmania and the Torres Strait Islands."	"20201029015723"	"https://web.archive.org/web/20201029015723/https://atns.net.au/subcategory.asp?subcategoryID=111"	"16"	"3"	"2"	"definition-changed"	"20070901080016: Aboriginal and Torres Strait Islander — The indigenous inhabitants of mainland Australia and the Torres Strait Islands. || 20110216102023: Aboriginal and Torres Strait Islander — The Indigenous inhabitants of mainland Australia, Tasmania and the Torres Strait Islands. || 20201029015723: Aboriginal and Torres Strait Islander — The Indigenous inhabitants of mainland Australia, Tasmania and the Torres Strait Islands."	"Aboriginal and Torres Strait Islander"	""
